Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,Location of death,Information Source,UNSD Geographical Grouping
Incident,2019,March,Northern Africa,Europe,Morocco,1,0,1,0,0,0,1,Drowning,Western Balkans,"Drina river, near the Croatia-Serbia-Bosnia and Herzegovina border","No Name Kitchen via Balkan Insight, Are you Syrious?, Ministry of Internal Affairs of Una-Sana Canton ",Southern Europe
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Mixed or unknown,Sahara Desert crossing,"Kantchari, Burkina Faso, near border with Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Mixed or unknown,,"Accra, Ghana",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,March,Caribbean,Caribbean,Dominican Republic,1,0,1,15,0,1,0,Drowning,,"Near Isla Catalina, Dominican Republic","Listin Diario, Acento",Caribbean
Incident,2019,March,Unknown,Northern Africa,Unknown,3,0,3,0,1,1,0,Mixed or unknown,,"Zuwara, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Eastern Africa (P),Eastern Africa,Unknown,2,0,2,2,1,1,0,Vehicle accident / death linked to hazardous transport,,"Hingaloola, Sanaag region, Somalia",IOM Somalia,Eastern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,Unspecified location in Guinea,Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,,"Road between Bamako and Koulikoro, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Kayes, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Central America,North America,Guatemala,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,6,0,6,0,1,2,1,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Zinder, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,3,1,Sickness / lack of access to adequate healthcare,,"Ségou, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,1,Violence,,"Abobo, Côte d'Ivoire",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Sickness / lack of access to adequate healthcare,,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Mediterranean,Unknown,1,44,45,0,22,3,0,Drowning,Western Mediterranean,"Unspecified location in the Alboran Sea, off the coast of Nador, Morocco","Caminando Fronteras, Alarm Phone, AP, Association Marocaine des Droits Humains - Section Nador",Uncategorized
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Timbuktu, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location in the desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,2,Violence,,"Bandiagara, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,1,Mixed or unknown,Sahara Desert crossing,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Eastern Africa (P),Northern Africa,Unknown,3,0,3,0,1,2,1,Mixed or unknown,Sahara Desert crossing,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Violence,Sahara Desert crossing,"Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Central America,Central America,El Salvador,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks near Avenida Vergel, sector centro, Gómez Palacio, Durango, Mexico",Milenio,Central America
Incident,2019,March,Northern Africa,Northern Africa,Morocco,,19,19,0,1,0,0,Drowning,Western Africa / Atlantic route to the Canary Islands,"Off the coast of Sidi Warzeg, Sidi Ifni, near Agadir, Morocco","Hams News, Ali Zoubeidi via Twitter ",Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Middle Africa,Unknown,2,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location, Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),Middle Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"Kufra, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,3,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Mediterranean,Unknown,3,0,3,52,0,0,0,Drowning,Western Mediterranean,"Unspecified location in the Alboran Sea, off the coast of Nador, Morocco","Caminando Fronteras, Huffington Post Maghreb",Uncategorized
Incident,2019,March,Unknown,Mediterranean,Unknown,1,3,4,15,0,1,0,Drowning,Central Mediterranean,"Between Sabratah and Surman, Libya",IOM Libya,Uncategorized
Incident,2019,March,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Body recovered off the coast of Aguadú, Melilla, Spain (Alboran Sea)","La Vanguardia, El Faro de Melilla",Uncategorized
Incident,2019,March,Sub-Saharan Africa (P),Middle Africa,Unknown,2,0,2,0,1,0,0,Mixed or unknown,,"Libreville, Gabon",Mixed Migration Monitoring Mechanism Initiative (4Mi),Middle Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Violence,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,0,0,Violence,,"Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,,"Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,0,3,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Middle Africa,Unknown,1,0,1,0,0,1,1,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location, Chad ",Mixed Migration Monitoring Mechanism Initiative (4Mi),Middle Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,0,2,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Rabyanah, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,2,0,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,0,2,0,Violence,Sahara Desert crossing,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,Sahara Desert crossing,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,2,0,0,Sickness / lack of access to adequate healthcare,,"Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,3,0,3,0,0,3,0,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,5,0,5,0,1,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Gao, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Central America,Central America,El Salvador,1,0,1,0,0,1,0,Violence,,"Town of Nueva Patria (Santo Domingo), Municipality of Durango, State of Durango, Mexico",Notiver,Central America
Incident,2019,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,,"Cinkassé, Togo-Burkina Faso border",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,1,Mixed or unknown,,"Cotonou, Benin",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Banfora, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,1,0,0,Mixed or unknown,,"Galkayo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),Eastern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,0,2,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Tajarhi, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Middle Africa,Unknown,1,0,1,0,1,0,1,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,"Chad Ennis, near border with Libya, Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),Middle Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,1,1,0,Mixed or unknown,Sahara Desert crossing,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,1,1,0,Mixed or unknown,Sahara Desert crossing,"Bani Walid, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,1,Vehicle accident / death linked to hazardous transport,,"Dakar, Senegal",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Pô, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,2,0,0,Mixed or unknown,Sahara Desert crossing,"Kantchari, Burkina Faso, near border with Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,1,Sickness / lack of access to adequate healthcare,,"Koupéla, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,0,0,1,0,Drowning,Western Mediterranean,"Body recovered on Playa de Horcas Coloradas, near Aguadú, Melilla, Spain (Alboran Sea)","El Faro de Melilla, Europa Press",Uncategorized
Split Incident,2019,March,Southern Asia,South-eastern Asia,"Myanmar,Viet Nam",8,2,10,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Sa Setthi intersection in Tambon Ban Mai, Tha Muang district, Kanchanaburi, Thailand - en route to Myanmar,Sa Setthi intersection in Tambon Ban Mai, Tha Muang district, Kanchanaburi, Thailand - en route to Myanmar","The Nation, Vietnam+",South-eastern Asia
Incident,2019,March,Unknown,Mediterranean,Unknown,,41,41,0,0,0,0,Drowning,Central Mediterranean,"Off the coast of Sabratha, Libya","IOM Italy, Mediterranea Rescue",Uncategorized
Incident,2019,March,Northern Africa,Mediterranean,Tunisia,1,7,8,0,0,1,0,Drowning,Central Mediterranean,"Off the coast of Mahdia, Tunisia",Shems FM,Uncategorized
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Tripoli, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,1,1,1,Mixed or unknown,Sahara Desert crossing,"Unspecified location in the desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Violence,Sahara Desert crossing,"El Fasher, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Unspecified location in the desert, Sudan, near border with Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Agadez, Niger",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,1,1,0,Mixed or unknown,,"Ouagadougou, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Middle Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Ndjamena, Chad",Mixed Migration Monitoring Mechanism Initiative (4Mi),Middle Africa
Incident,2019,March,South America,North America,Ecuador,2,0,2,0,0,1,1,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Road near Laredo, Webb County, Texas, USA","El Mercurio, Bello Ecuador",Northern America
Incident,2019,March,Western Asia,Europe,Türkiye,1,0,1,0,0,1,0,Drowning,,"Evros River, near Feres, Greece",E-Evros,Southern Europe
Incident,2019,March,Western / Southern Asia (P),Western Asia,Unknown,1,0,1,0,0,1,0,Drowning,Türkiye-Europe land route,"Evros/Meriç river, near Yenikarpuzlu, Edirne, Türkiye","UNHCR, Hurriyet",Western Asia
Incident,2019,March,Central America,North America,Guatemala,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,March,Central America,Central America,Honduras,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Train tracks in Teacalco, Tlaxcala, Mexico","Megalópolis, Línea de contraste",Central America
Incident,2019,March,Southern Asia,Mediterranean,Afghanistan,4,0,4,11,0,3,0,Drowning,Eastern Mediterranean,"Off the coast of Ayvacık district, Çanakkale province, Türkiye",Turkish Coast Guard via IOM Türkiye,Uncategorized
Incident,2019,March,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Western Mediterranean,"Body recovered on Playa del Tarajal, Ceuta, Spain (Strait of Gibraltar)","Ceuta al día, El Pueblo de Ceuta",Uncategorized
Incident,2019,March,Unknown,Northern Africa,Unknown,1,0,1,0,1,0,0,Sickness / lack of access to adequate healthcare,Sahara Desert crossing,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Northern Africa,Unknown,2,0,2,0,2,0,0,Mixed or unknown,Sahara Desert crossing,"Qatrun, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Western Mediterranean,"Body recovered on beach near Tetouan, Morocco (Strait of Gibraltar)",El Pueblo de Ceuta,Uncategorized
Incident,2019,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,"Desert, Calexico, Imperial County, California, USA",Imperial County Coroner,Northern America
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,1,1,0,Vehicle accident / death linked to hazardous transport,,"Bobo-Dioulasso, Burkina Faso",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Sub-Saharan Africa (P),Western Africa,Unknown,2,0,2,0,0,2,0,Vehicle accident / death linked to hazardous transport,,"Kamsar, Guinea",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,March,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,Sickness / lack of access to adequate healthcare,,"Kismaayo, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),Eastern Africa
Split Incident,2019,March,Western / Southern Asia (P),Mediterranean,"Unknown,Yemen",,2,2,36,0,0,2,Drowning,Eastern Mediterranean,"Off the coast of Chios, Greece",Hellenic Coast Guard via IOM Greece,Uncategorized
Incident,2019,March,Unknown,Europe,Unknown,1,0,1,0,0,0,0,Drowning,,"Evros River, near Feres, Greece",Hellenic Police via UNHCR,Southern Europe
Incident,2019,March,Latin America / Caribbean (P),North America,Unknown,1,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,March,Southern Asia,Europe,Bangladesh,1,0,1,14,0,1,0,Vehicle accident / death linked to hazardous transport,Western Balkans,"Along Udovo-Demir Kapija road, near Vodisirska river, North Macedonia",North Macedonia Ministry of Interior via IOM Skopje,Southern Europe
Incident,2019,March,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Violence,Sahara Desert crossing,"Atbara, Sudan",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Eastern Africa (P),Northern Africa,Unknown,1,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,Sahara Desert crossing,"Unspecified location in the Sahara desert, Libya",Mixed Migration Monitoring Mechanism Initiative (4Mi),Northern Africa
Incident,2019,March,Northern Africa,Europe,Algeria,1,0,1,0,0,0,1,Accidental death,Western Balkans,"Forest area north of Javornik, north-west of Plitvice lakes, Croatia ","Police Directorate of Lika Senj, HGSS (Croatian mountain rescue service), Novi list, Lika online",Southern Europe
Incident,2019,March,Caribbean,Caribbean,Haiti,17,2,19,0,14,0,0,Drowning,,"Off the coast of West Caicos, Turks and Caicos Islands","US Coast Guard, Royal Turks and Caicos Islands Police Force",Caribbean
Incident,2019,April,Sub-Saharan Africa (P),Mediterranean,Unknown,1,0,1,12,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Mediterranean,"After disembarkation in Port of Tarifa, Cádiz, Spain (rescued from boat in Gibraltar Strait)","Europa Sur, ABC",Uncategorized
Incident,2019,April,Unknown,Mediterranean,Unknown,,50,50,0,0,0,0,Drowning,Central Mediterranean,"Unspecified location off the coast of Zuwara, Libya","Alarm Phone, Sea-Eye",Uncategorized
Incident,2019,April,Unknown,Mediterranean,Unknown,1,0,1,0,0,0,0,Drowning,Western Mediterranean,"Off the coast of Al-Hoceima, Morocco (Alboran Sea)",Association Marocaine des Droits Humains - Section Nador,Uncategorized
Incident,2019,April,Central America,North America,El Salvador,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Central America,Central America,El Salvador,1,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,,"Road towards Comunidad Estación La Colorada, near the municipality of Villa de Cos, Zacatecas, Mexico",Zacatecas Online,Central America
Incident,2019,April,Southern Asia,Southern Asia,Afghanistan,2,0,2,18,0,2,0,Violence,Afghanistan to Iran,"Near Saravan border crossing point, Sistan and Baluchestan, Iran","The Afghanistan Times, BBC Arabic",Southern Asia
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,1,0,1,11,0,1,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Died in hospital in Laredo, Webb County, Texas, USA - after car pursuit in Highway 83 south of Río Bravo","Zócalo, Diario de México",Northern America
Incident,2019,April,Latin America / Caribbean (P),Central America,Unknown,1,0,1,0,0,1,0,Drowning,US-Mexico border crossing,"Río Bravo, near ""El Patinadero"", Parque Viveros, Nuevo Laredo, Tamaulipas, Mexico","Hoy Tamaulipas, Monitoreo Laredo",Central America
Incident,2019,April,Western Asia,Western Asia,Syrian Arab Republic,1,0,1,3,1,0,0,Violence,Syria to Türkiye,"Syria-Türkiye border, near Bab al-Hawa, Aleppo, Syria","The New Arab, Syrian Observatory for Human Rights",Western Asia
Incident,2019,April,Eastern Africa (P),Eastern Africa,Unknown,1,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,"Dhobley, Afmadow District, Lower Juba, Somalia",Mixed Migration Monitoring Mechanism Initiative (4Mi),Eastern Africa
Incident,2019,April,Central America,North America,Mexico,1,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),Northern America
Incident,2019,April,Latin America / Caribbean (P),North America,Unknown,2,0,2,9,0,0,0,Vehicle accident / death linked to hazardous transport,US-Mexico border crossing,"Near mile marker 131 on Highway 9, Doña Ana County, New Mexico, USA",US Border Patrol,Northern America
Incident,2019,April,Western / Southern Asia (P),Mediterranean,Unknown,1,0,1,0,0,0,1,Drowning,Eastern Mediterranean,"Body recovered on Afantou beach, Rhodes, Greece","Ekathimerini, Hellenic Coast Guard via IOM Greece",Uncategorized
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,1,0,1,0,1,0,1,Vehicle accident / death linked to hazardous transport,,"Bamako, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Sub-Saharan Africa (P),Western Africa,Unknown,3,0,3,0,1,1,0,Vehicle accident / death linked to hazardous transport,,"Sikasso, Mali",Mixed Migration Monitoring Mechanism Initiative (4Mi),Western Africa
Incident,2019,April,Western / Southern Asia (P),Mediterranean,Unknown,2,0,2,0,0,0,2,Drowning,Eastern Mediterranean,"One body recovered on Afantou beach, another recovered on Faliraki beach, Rhodes, Greece","Ekathimerini, Hellenic Coast Guard via IOM Greece",Uncategorized
Incident,2019,April,Central America,Central America,Guatemala,1,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,,"Train tracks near Comunidad Aragón, municipality of Nopala de Villagrán, Hidalgo, Mexico",Excelsior,Central America
